player,team,xG,goals,shots,xG_per_shot,finishing_diff,shots_per_match
Akram Hassan Afif,Qatar,0.030222171,0,2,0.0151110855,-0.030222171,0.2
Akshunna Tyagi,Odisha,0.32550627,0,1,0.32550627,-0.32550627,0.1
Alaeddine Yahia,Caen,0.28125343999999997,0,4,0.07031335999999999,-0.28125343999999997,0.4
Alaeddine Yahia,Stade Malherbe Caen,1.289189385,1,12,0.10743244875,-0.289189385,1.2
Alan Dzagoev,Russia,0.91115533,1,2,0.455577665,0.08884466999999996,0.2
Alan Henrique Costa,Bengaluru,1.568799149,2,11,0.14261810445454545,0.43120085100000005,1.1
Alan Hutton,Aston Villa,0.677810072,0,11,0.061619097454545455,-0.677810072,1.1
Alan James Ball,England,0.15828194,0,3,0.05276064666666667,-0.15828194,0.3
Alan Patrick Mullery,England,0.07489438,0,1,0.07489438,-0.07489438,0.1
Alan Shearer,Newcastle United,0.043060707000000004,0,2,0.021530353500000002,-0.043060707000000004,0.2
Alan Smith,Leeds United,0.280638038,1,5,0.0561276076,0.719361962,0.5
Alan Steve Minda García,Ecuador,0.9914318900000001,1,2,0.49571594500000005,0.008568109999999907,0.2
Alan Steven Franco Palma,Ecuador,0.171235749,0,3,0.057078582999999995,-0.171235749,0.3
Alan Stubbs,Everton,0.244547722,0,3,0.08151590733333333,-0.244547722,0.3
Alan Virginius,Lille,0.090707794,0,1,0.090707794,-0.090707794,0.1
Alana Cook,Seattle Reign,0.22013191799999998,0,3,0.07337730599999999,-0.22013191799999998,0.3
Alanna Stephanie Kennedy,Australia Women's,1.138046401,1,12,0.09483720008333334,-0.13804640099999999,1.2
Alanna Stephanie Kennedy,Manchester City WFC,1.4684613720000002,0,13,0.11295856707692309,-1.4684613720000002,1.3
Alanna Stephanie Kennedy,Orlando Pride,1.44412444,1,12,0.12034370333333333,-0.44412443999999995,1.2
Alanna Stephanie Kennedy,Tottenham Hotspur Women,2.2232517425,1,33,0.06737126492424242,-1.2232517425,3.3
Alara Şehitler,Bayern München W,0.06363191,0,1,0.06363191,-0.06363191,0.1
Alasana Manneh,Gambia,0.060111581,0,2,0.0300557905,-0.060111581,0.2
Alassane Pléa,Borussia Mönchengladbach,0.016806483,0,1,0.016806483,-0.016806483,0.1
Alassane Pléa,OGC Nice,4.7290104215,6,47,0.10061724301063829,1.2709895785,4.7
Alassane Touré,Gazélec Ajaccio,0.328913839,1,7,0.046987691285714284,0.6710861610000001,0.7
Alayah Pilgrim,AS Roma W,1.7242442740000001,1,13,0.13263417492307694,-0.7242442740000001,1.3
Alayah Pilgrim,Switzerland Women's,0.609073134,1,7,0.0870104477142857,0.39092686600000004,0.7
Alba Cerrato Izquierdo,Sevilla FC,0.44419135699999995,0,4,0.11104783924999999,-0.44419135699999995,0.4
Alba María Redondo Ferrer,Levante UD Femenino,11.055023939,16,69,0.1602177382463768,4.944976061,6.9
Alba María Redondo Ferrer,Spain Women's,4.216054165,3,18,0.2342252313888889,-1.216054165,1.8
Alba Pérez Manrique,Granada W,0.367678192,0,8,0.045959774,-0.367678192,0.8
Albert Crusat Domene,Almería,0.319200237,0,3,0.106400079,-0.319200237,0.3
Albert Luque Martos,Málaga,0.38335152,0,3,0.12778384,-0.38335152,0.3
Albert Riera Ortega,Espanyol,0.028343752,0,1,0.028343752,-0.028343752,0.1
Alberth Josué Elis Martínez,Bordeaux,0.2286536,0,2,0.1143268,-0.2286536,0.2
Alberto Botía Rabasco,Sevilla,0.09587792,1,1,0.09587792,0.90412208,0.1
Alberto Bueno Calvo,Rayo Vallecano,1.4184257740000001,1,9,0.1576028637777778,-0.41842577400000014,0.9
Alberto De La Bella Madureño,Real Sociedad,1.151704171,1,7,0.1645291672857143,-0.151704171,0.7
Alberto Facundo Costa,Fiorentina,0.056980178,0,2,0.028490089,-0.056980178,0.2
Alberto Facundo Costa,Genoa,0.7137920885,0,17,0.04198776991176471,-0.7137920885,1.7
Alberto Facundo Costa,Valencia,0.23555458099999999,0,5,0.0471109162,-0.23555458099999999,0.5
Alberto Gallardo,Peru,0.231321336,1,6,0.038553555999999996,0.7686786640000001,0.6
Alberto Gilardino,Palermo,7.528761883,10,49,0.15364820169387755,2.4712381170000004,4.9
Alberto Grassi,Atalanta,1.088010675,0,16,0.0680006671875,-1.088010675,1.6
Alberto Junior Rodríguez Valdelomar,Peru,0.06343268299999999,0,2,0.031716341499999995,-0.06343268299999999,0.2
Alberto Lopo García,RC Deportivo La Coruña,0.396536897,0,5,0.0793073794,-0.396536897,0.5
Alberto Lora Ramos,Sporting Gijón,0.237853877,0,6,0.03964231283333333,-0.237853877,0.6
Alberto Mateus Contreiras Gonçalves,Rayo Vallecano,4.517399608,4,28,0.16133570028571428,-0.5173996079999998,2.8
Alberto Mateus Contreiras Gonçalves,Real Valladolid,0.178352632,0,2,0.089176316,-0.178352632,0.2
Alberto Moreno Pérez,Liverpool,2.2181667935,1,34,0.06524019980882353,-1.2181667935,3.4
Alberto Moreno Pérez,Sevilla,0.083990356,1,2,0.041995178,0.916009644,0.2
Alberto Moreno Pérez,Villarreal,0.2049631,0,1,0.2049631,-0.2049631,0.1
Alberto Noguera Ripoll,Goa,2.134691641,3,22,0.09703143822727273,0.8653083590000001,2.2
Alberto Paloschi,Chievo,8.773427468,8,41,0.21398603580487804,-0.7734274679999995,4.1
Alberto Paloschi,Swansea City,2.737612402,2,15,0.18250749346666667,-0.7376124019999999,1.5
Alberto Perea Correoso,Cádiz,0.238537614,0,2,0.119268807,-0.238537614,0.2
Alberto Perea Correoso,Rayo Vallecano,0.34405279,0,2,0.172026395,-0.34405279,0.2
Alberto Rivera Pizarro,Real Betis,0.110756563,0,3,0.036918854333333334,-0.110756563,0.3
Alberto Rivera Pizarro,Sporting Gijón,0.021877512,0,1,0.021877512,-0.021877512,0.1
Alberto Zapater Arjol,Real Zaragoza,0.395790326,1,2,0.197895163,0.604209674,0.2
Albin Ekdal,Hamburger SV,0.199647669,0,6,0.0332746115,-0.199647669,0.6
Albin Ekdal,Sweden,0.4564142,0,5,0.09128284,-0.4564142,0.5
Aldana Cometti,Madrid CFF,1.71398596,4,20,0.08569929800000001,2.28601404,2.0
Aldo Kalulu Kyatengwa,Lyon,0.9491283079999999,2,5,0.18982566159999997,1.050871692,0.5
Aldo Pedro Duscher,Racing Santander,0.027940795,0,2,0.0139703975,-0.027940795,0.2
Aldo Serena,Juventus,0.043766152,0,1,0.043766152,-0.043766152,0.1
Aldrith Ivana Quintero Humphries,Panama Women's,0.042960305,0,1,0.042960305,-0.042960305,0.1
Aleandro Rosi,Frosinone,0.974025941,0,15,0.06493506273333333,-0.974025941,1.5
Aleix García Serrano,Girona,0.103889465,0,3,0.034629821666666664,-0.103889465,0.3
Aleix Vidal Parreu,Almería,0.141607254,0,3,0.047202417999999996,-0.141607254,0.3
Aleix Vidal Parreu,Barcelona,1.99615919,3,18,0.11089773277777777,1.00384081,1.8
Aleix Vidal Parreu,Deportivo Alavés,0.015026416,0,1,0.015026416,-0.015026416,0.1
Alejandra Bernabe De Santiago,Real Sociedad de Fútbol,0.781438937,1,9,0.08682654855555555,0.218561063,0.9
Alejandro Alfaro Ligero,Mallorca,0.39765513,0,1,0.39765513,-0.39765513,0.1
Alejandro Alfaro Ligero,Tenerife,0.799572557,0,6,0.13326209283333332,-0.799572557,0.6
Alejandro Arribas Garrido,RC Deportivo La Coruña,1.246195509,2,13,0.09586119300000001,0.7538044909999999,1.3
Alejandro Balde Martínez,Spain,0.20344019,0,1,0.20344019,-0.20344019,0.1
Alejandro Barrera García,Sporting Gijón,0.112140857,0,2,0.0560704285,-0.112140857,0.2
Alejandro Bedoya,Nantes,4.685467386,3,46,0.10185798665217391,-1.685467386,4.6
Alejandro Berenguer Remiro,Athletic Club,0.091559429,0,2,0.0457797145,-0.091559429,0.2
Alejandro Bergantiños García,RC Deportivo La Coruña,1.6589901390000001,4,19,0.08731527047368422,2.341009861,1.9
Alejandro Bergantiños García,Xerez,0.052630918,0,2,0.026315459,-0.052630918,0.2
Alejandro Castro Fernández,Deportivo Alavés,0.098917514,0,1,0.098917514,-0.098917514,0.1
Alejandro Damián Domínguez,Rayo Vallecano,0.114241341,0,4,0.02856033525,-0.114241341,0.4
Alejandro Darío Gómez,Argentina,0.037321252,0,2,0.018660626,-0.037321252,0.2
Alejandro Darío Gómez,Atalanta,7.058803376,7,87,0.08113567098850574,-0.058803376000000185,8.7
Alejandro Fernández Iglesias,Cádiz,0.7143013,1,1,0.7143013,0.28569869999999997,0.1
Alejandro Fernández Iglesias,Espanyol,0.11693335,0,1,0.11693335,-0.11693335,0.1
Alejandro Gallar Falguera,Huesca,0.4586762,1,1,0.4586762,0.5413238,0.1
Alejandro Garnacho Ferreyra,Argentina,0.193781364,0,2,0.096890682,-0.193781364,0.2
Alejandro Granell Nogué,Girona,0.060636990999999994,0,4,0.015159247749999999,-0.060636990999999994,0.4
Alejandro Grimaldo García,Bayer Leverkusen,6.124947123,10,71,0.08626686088732395,3.875052877,7.1
Alejandro Gálvez Jimena,Las Palmas,0.041992698,0,1,0.041992698,-0.041992698,0.1
Alejandro Gálvez Jimena,Rayo Vallecano,0.079205055,0,2,0.0396025275,-0.079205055,0.2
Alejandro Gálvez Jimena,Werder Bremen,0.208014689,1,5,0.0416029378,0.791985311,0.5
