team,xG_for,goals_for,shots,xG_per_shot,finishing_diff,attack_strength
Nantes,41.0512369,36,484,0.08481660516528926,-5.051236899999999,1.2115209334660637
Napoli,72.0503772539,88,740,0.09736537466743242,15.949622746100005,2.1263802725327134
Napoli W,27.587155655500002,18,293,0.09415411486518772,-9.587155655500002,0.814163447811361
Nashville SC,0.409245405,0,7,0.05846362928571429,-0.409245405,0.012077818173666221
Netherlands,34.822699674,39,273,0.12755567646153845,4.177300326000001,1.0277017892937808
Netherlands Women's,27.9616974925,34,254,0.11008542319881891,6.038302507499999,0.8252170800585377
New York Red Bulls,1.285565842,0,13,0.09888968015384615,-1.285565842,0.03794014618185418
New Zealand Women's,5.4345234725,1,59,0.09211056733050847,-4.4345234725,0.160385884751415
Newcastle United,42.3681081265,45,421,0.10063683640498812,2.6318918735000025,1.2503849769897775
Nigeria,17.310807574,14,125,0.13848646059199998,-3.3108075739999983,0.5108836501611937
Nigeria Women's,10.2549512945,6,87,0.11787300338505746,-4.2549512945,0.3026483269000272
North Carolina Courage,71.349398981,57,528,0.13513143746401513,-14.349398980999993,2.105692714357743
North Macedonia,3.199304821,2,33,0.09694863093939395,-1.1993048210000001,0.09441919551954836
NorthEast United,25.1229972016,24,277,0.09069674080000001,-1.1229972016000005,0.7414401932709546
Northern Ireland W,0.891762179,1,16,0.0557351361875,0.10823782100000001,0.026318051028854896
Norway Women's,29.300428641,26,210,0.13952585067142856,-3.300428641,0.864726262562386
Norwich City,40.9721144655,38,424,0.0966323454375,-2.972114465499999,1.2091858397407016
Nürnberg W,16.1719284655,15,170,0.0951289909735294,-1.1719284654999989,0.47727258299661535
OGC Nice,47.611687836499996,57,440,0.1082083814465909,9.388312163500004,1.4051356511396935
OL Reign,16.611752734,10,105,0.1582071688952381,-6.6117527339999995,0.490252857126532
Odisha,25.3539903855,30,226,0.1121857981659292,4.646009614499999,0.748257358816162
Olympique de Marseille,43.0639226205,39,405,0.10633067313703704,-4.063922620500001,1.270920139604819
Orlando Pride,53.218101552,36,432,0.12319004988888889,-17.218101552,1.570594431213614
Osasuna,12.564071977,10,139,0.09038900702877697,-2.5640719769999993,0.37079604316891734
Palermo,35.640983787,37,416,0.08567544179567309,1.3590162129999968,1.051851325514508
Panama,6.0626502355,7,74,0.08192770588513514,0.9373497645000004,0.17892341929875472
Panama Women's,2.212212941,3,25,0.08848851764000001,0.7877870589999998,0.06528773527177269
Panathinaikos,0.698052243,0,14,0.0498608745,-0.698052243,0.0206012039809558
Paraguay,3.079363395,3,43,0.07161310220930232,-0.07936339500000011,0.09087943498218022
Paris Saint-Germain,188.8623204421,235,1432,0.1318870952807961,46.137679557899986,5.5737822301422515
Peru,5.8987462625,4,75,0.07864995016666666,-1.8987462624999996,0.1740862180506784
Philippines Women's,0.6425583815,1,11,0.05841439831818182,0.3574416185,0.018963446389147
Poland,15.943506711,12,141,0.11307451568085106,-3.9435067109999995,0.4705313065300883
Poland Women's,3.728112811,3,34,0.10965037679411764,-0.7281128109999999,0.11002559371967452
Pomigliano,25.4101534635,21,266,0.0955268927199248,-4.410153463499999,0.7499148665996822
Portland Thorns,57.047179308,56,485,0.11762305011958762,-1.047179307999997,1.683599743783459
Portsmouth,1.9232552083,2,23,0.0836197916652174,0.07674479169999993,0.056759896198233316
Portugal,33.818292424,34,270,0.1252529349037037,0.18170757600000087,0.9980593107476572
Portugal Women's,11.947809729,8,103,0.11599815270873785,-3.9478097289999994,0.3526086590524389
Qatar,1.372200224,1,20,0.0686100112,-0.37220022399999997,0.04049693558156397
RB Leipzig,2.542715628,4,24,0.1059464845,1.4572843720000002,0.07504166606909982
RB Leipzig W,20.1753967195,26,220,0.091706348725,5.8246032805,0.5954245794395735
RC Deportivo La Coruña,52.6859944265,54,599,0.08795658501919867,1.3140055734999976,1.5548906675740413
Racing Louisville FC,34.3597510135,23,327,0.10507569117278288,-11.359751013500002,1.0140390586266854
Racing Santander,7.8416303835,4,81,0.09681025164814815,-3.8416303835,0.23142541076792178
Rayo Vallecano,59.0187652489,55,607,0.09723025576425041,-4.018765248900003,1.7417859963766846
Reading WFC,88.5316234302,76,771,0.11482700834007782,-12.5316234302,2.612781566623683
Real Betis,60.4920559912,63,584,0.10358228765616438,2.5079440088000027,1.7852663567791307
Real Betis Balompié,28.943207217,30,311,0.09306497497427653,1.0567927829999988,0.8541837974446406
Real Madrid,134.9524331495,165,1188,0.11359632419991582,30.047566850500004,3.982771534535633
Real Madrid CF W,66.4606922905,71,518,0.12830249476930503,4.539307709499994,1.9614151982491763
Real Murcia CF,2.0128066785,3,21,0.09584793707142858,0.9871933214999999,0.05940277590084131
Real Sociedad,70.0381661825,66,683,0.10254489924231333,-4.038166182500007,2.0669950744327927
Real Sociedad de Fútbol,37.4160523365,40,381,0.09820486177559055,2.5839476634999983,1.1042378762850769
Real Valladolid,9.1943489099,4,114,0.08065218342017544,-5.1943489099,0.2713473945028617
Real Zaragoza,12.2230781435,11,112,0.10913462628125001,-1.2230781435000004,0.36073249335495083
Recreativo Huelva,4.903111818,2,43,0.11402585623255815,-2.903111818,0.1447026461371216
Rennes,48.954247901,54,469,0.10438005949040512,5.045752098999998,1.4447578341823024
Republic of Ireland Women's,3.734806955,1,28,0.13338596267857142,-2.734806955,0.11022315404184928
River Plate,2.685813194,1,33,0.08138827860606061,-1.685813194,0.0792648201036386
Romania,5.3513206395,6,56,0.09555929713392856,0.6486793605000001,0.15793036863265023
Russia,15.181704394,19,84,0.1807345761190476,3.8182956059999995,0.44804868422916444
SC Delhi,2.2820328895,2,28,0.08150117462499999,-0.28203288949999994,0.06734829021649524
SC Freiburg,27.846401295,24,277,0.10052852453068592,-3.8464012949999997,0.8218144114090995
SD Eibar,23.865221607,21,308,0.07748448573701298,-2.8652216069999987,0.7043202042637384
SGS Essen 19/68,30.588131326,32,279,0.1096348793046595,1.4118686740000008,0.9027294721309133
SV Werder Bremen,32.9867798115,31,247,0.1335497158360324,-1.9867798115,0.973519369626302
Saint-Étienne,46.0057780658,41,457,0.10066909861225383,-5.005778065800001,1.3577413836003218
Sampdoria,40.3619957324,45,439,0.09194076476628701,4.638004267600003,1.1911797655546532
Sampdoria W,28.91035028,24,335,0.08629955307462686,-4.910350279999999,0.8532141100492998
San Diego Wave,32.596078487,30,282,0.11558893080496453,-2.5960784869999998,0.961988831959003
Sassuolo,45.178735952,48,495,0.09127017364040403,2.8212640480000033,1.3333333776694034
Sassuolo W,34.0662933195,38,305,0.1116927649819672,3.933706680500002,1.0053784148503786
Saudi Arabia,6.547113253,5,65,0.10072481927692307,-1.547113253,0.19322109049003094
Schalke 04,46.4795653405,47,486,0.09563696572119341,0.5204346594999976,1.3717239878932728
Scotland,5.666418761,2,58,0.09769687518965517,-3.666418761,0.16722967357741994
Scotland W,3.409771696,5,32,0.1065553655,1.590228304,0.10063058022117924
Seattle Reign,31.563906031,32,289,0.10921766792733563,0.43609396900000164,0.9315269352703046
Seattle Sounders,1.719411668,1,24,0.07164215283333333,-0.719411668,0.05074398206568538
Senegal,17.757647046,21,128,0.138731617546875,3.242352954000001,0.5240709598528762
Serbia,10.1379402885,8,93,0.10901011062903225,-2.1379402884999994,0.2991950501191046
Sevilla,92.580159672,75,750,0.12344021289599999,-17.580159671999994,2.7322636279994446
Sevilla FC,40.194518775,51,384,0.10467322597656249,10.805481225000001,1.1862371169261219
Slovakia,5.934630457,5,74,0.08019770887837838,-0.9346304569999999,0.1751452471104658
Slovenia,5.3031329199999995,2,40,0.132578323,-3.3031329199999995,0.15650823289889743
South Africa,19.300423509999998,17,91,0.21209256604395602,-2.300423509999998,0.5696020113616981
South Africa Women's,6.488200136,6,66,0.09830606266666667,-0.4882001359999997,0.19148242242808916
South Korea,7.779757174,8,82,0.09487508748780488,0.22024282599999978,0.22959938324254944
Southampton,58.334749398999996,57,545,0.10703623742935779,-1.3347493989999961,1.7215990401834975
Soviet Union U20,0.4375957205,1,11,0.039781429136363636,0.5624042794999999,0.01291450430768664
Spain,54.982034117,47,377,0.14584093930238726,-7.982034116999998,1.6226523322441182
Spain Women's,55.20291913,46,463,0.11922876701943844,-9.202919129999998,1.6291711813056047
Sporting Gijón,44.0313178921,43,413,0.10661336051355932,-1.0313178920999988,1.2994703054703325
Stade Brestois,1.544448572,1,13,0.11880373630769231,-0.5444485720000001,0.04558039944564422
Stade Malherbe Caen,32.886726549,30,375,0.08769793746400001,-2.8867265490000023,0.9705665567238405
Stade de Reims,45.2103587745,44,475,0.0951797026831579,-1.2103587745000013,1.3342666433716615
Stoke City,39.33127163,40,425,0.09254416854117647,0.6687283699999966,1.1607606132711903
Strasbourg,3.254987093,3,31,0.10499958364516129,-0.254987093,0.09606251355927717
Sunderland,45.389592816,44,451,0.10064211267405765,-1.3895928159999968,1.339556271886289
Swansea City,42.3610426835,41,448,0.09455589884709822,-1.3610426835000027,1.2501764587392907
Sweden,14.882487751,12,113,0.13170343142477875,-2.8824877509999993,0.4392180799889316
