player,team,xG,goals,shots,xG_diff
Alena Bienz,Köln,0.807628982,0,11,-0.807628982
Alessandro Altobelli,Juventus W,0.16965719,0,3,-0.16965719
Alessandro Bastoni,Italy,0.48709845,1,3,0.51290155
Alessandro Diamanti,Atalanta,1.487439499,1,24,-0.48743949899999994
Alessandro Diamanti,Watford,0.01821487,0,1,-0.01821487
Alessandro Florenzi,AS Roma,3.3557330405,7,48,3.6442669595
Alessandro Frara,Frosinone,1.3313290850000001,2,12,0.6686709149999999
Alessandro Gamberini,Chievo,0.432149815,0,4,-0.432149815
Alessandro Gazzi,Torino,0.092421294,0,2,-0.092421294
Alessandro Longhi,Sassuolo,0.016313264,0,1,-0.016313264
Alessandro Matri,Lazio,2.702652703,4,12,1.297347297
Alessandro Nesta,AC Milan,0.008990963,0,1,-0.008990963
Alessandro Piu,Empoli,0.174401031,0,3,-0.174401031
Alessandro Renica,Napoli,0.581953868,1,9,0.41804613199999996
Alessandro Schöpf,Austria,0.03520636,0,1,-0.03520636
Alessandro Schöpf,Schalke 04,1.401212586,3,14,1.598787414
Alessia Russo,Arsenal WFC,12.617559014,12,79,-0.6175590139999994
Alessia Russo,England Women's,8.145929257,10,50,1.8540707429999994
Alessia Russo,Manchester United,1.647311641,2,9,0.35268835900000006
Alessia Russo,Manchester United W,0.7265495399999999,1,5,0.27345046000000006
Alessio Cerci,AC Milan,0.7847932175,0,18,-0.7847932175
Alessio Cerci,Genoa,3.584878169,4,21,0.415121831
Alessio Romagnoli,AC Milan,0.306750245,0,6,-0.306750245
Alex Adrián Arce Barrios,Paraguay,0.275504461,0,5,-0.275504461
Alex Ferrari,Bologna,0.493329376,0,8,-0.493329376
Alex Greenwood,England Women's,2.746186486,3,11,0.25381351399999996
Alex Greenwood,Manchester City WFC,2.015766615,1,28,-1.015766615
Alex Iwobi,Arsenal,2.0904759790000003,2,15,-0.09047597900000026
Alex Iwobi,Nigeria,0.639680697,0,11,-0.639680697
Alex Král,Czech Republic,0.013508173,0,1,-0.013508173
Alex Král,Union Berlin,0.0298083275,0,2,-0.0298083275
Alex Muyl,Nashville SC,0.034588873,0,1,-0.034588873
Alex Nicolao Telles,Inter Milan,0.548080544,0,13,-0.548080544
Alex Oxlade-Chamberlain,Arsenal,1.7507438389999999,1,23,-0.7507438389999999
Alex Pritchard,West Bromwich Albion,0.10648613,0,2,-0.10648613
Alex Rae,Wolverhampton Wanderers,0.010877089,0,1,-0.010877089
Alex Rodrigo Dias da Costa,AC Milan,2.4258807079999998,3,23,0.5741192920000002
Alex Sandro Lobo Silva,Brazil,0.01738108,0,1,-0.01738108
Alex Sandro Lobo Silva,Juventus,1.454471719,2,19,0.545528281
Alexa Christine Spaanstra,KC Current,1.379998206,2,16,0.620001794
Alexander Alegría Moreno,Real Betis,0.310887508,1,3,0.689112492
Alexander Andre Marshsall,Jamaica,0.01847786,0,1,-0.01847786
Alexander Banor Tettey,Norwich City,0.8225063385,2,20,1.1774936615
Alexander Baumjohann,Hertha Berlin,1.394325559,1,8,-0.3943255590000001
Alexander Djiku,Bastia,0.06561774000000001,0,2,-0.06561774000000001
Alexander Djiku,Ghana,0.077065654,1,1,0.922934346
Alexander Esswein,Augsburg,2.528417482,3,47,0.47158251799999995
Alexander Farnerud,Torino,0.042212178,0,2,-0.042212178
Alexander Hack,FSV Mainz 05,0.17840256999999998,0,2,-0.17840256999999998
Alexander Hartmann Bah,Denmark,0.289581466,0,4,-0.289581466
Alexander Isak,Real Sociedad,1.90406021,1,11,-0.9040602099999999
Alexander Isak,Sweden,0.935990978,0,8,-0.935990978
Alexander Kerzhakov,Sevilla,0.13218728,1,1,0.86781272
Alexander Meier,Eintracht Frankfurt,7.783218055,12,50,4.216781945
Alexander Merkel,Udinese,0.023069326,0,1,-0.023069326
Alexander Milosevic,Hannover 96,0.342837169,0,6,-0.342837169
Alexander Romario Jesuraj,Goa,2.61539737,2,14,-0.6153973700000002
Alexander Szymanowski,Leganés,0.331076088,0,5,-0.331076088
Alexander Toft Søderlund,Saint-Étienne,3.089524644,2,20,-1.089524644
Alexandra Chidiac,Australia Women's,0.214422606,0,3,-0.214422606
Alexandra Chidiac,Racing Louisville FC,0.14826196800000002,0,2,-0.14826196800000002
Alexandra Emmerling,Duisburg WFC,0.30607029,1,2,0.6939297099999999
Alexandra Jóhannsdóttir,Fiorentina W,3.021373719,3,22,-0.02137371900000007
Alexandra Jóhannsdóttir,Iceland Women's,0.7445314160000001,0,5,-0.7445314160000001
Alexandra Morgan Carrasco,Orlando Pride,2.555338963,1,16,-1.555338963
Alexandra Morgan Carrasco,San Diego Wave,8.093778454,7,61,-1.0937784540000006
